Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Valid Loss,Valid Accuracy,Valid Precision,Valid Recall,Valid F1
0,1.5755580950797872,0.29659574468085104,0.2055561175756914,0.20702359230952916,0.2011730881899254,1.4952104874239622,0.3531669865642994,0.30587481146304674,0.2264971686644201,0.21616631907926695
1,1.4859238904587766,0.3477659574468085,0.21393208219593304,0.2058120804752003,0.18653770142071824,1.45944283754771,0.3435700575815739,0.30436084881713876,0.20204858593183467,0.1784400660780538
2,1.4633952169215425,0.35648936170212764,0.2282685583472625,0.20508836346682383,0.17893993036846736,1.4430141303375477,0.3550863723608445,0.4714601986998651,0.21328965469436506,0.19506890709303054
3,1.444633477393617,0.36095744680851066,0.20304940650258727,0.20684751625468228,0.17921355303868788,1.427892903335222,0.3666026871401152,0.4629361866203972,0.21714730943138677,0.19458504074072686
4,1.4219077252327128,0.3747872340425532,0.29171937663709524,0.2177816235638188,0.19231729550795856,1.4116297132186306,0.3742802303262956,0.514799291001981,0.22778542635328242,0.2141593499878729
5,1.4088523312832446,0.37893617021276593,0.287597703068755,0.21989672278682768,0.19414868182741124,1.3966665486343035,0.3838771593090211,0.382765793032391,0.23148498485688687,0.2157686696205769
6,1.3907206823470746,0.3872340425531915,0.30764122356967094,0.22561636992738573,0.2004969386113505,1.3873088341632873,0.39539347408829173,0.4132329317269076,0.24677073113509365,0.2362822240394856
7,1.3783800490359042,0.38765957446808513,0.3556156363747719,0.2326737154510134,0.2150445665349034,1.3734474473327172,0.4049904030710173,0.41306971677559917,0.24991196732500104,0.23939877090869327
8,1.3629829828789894,0.39861702127659576,0.3336474803578236,0.23850021630785437,0.21993941787663243,1.3623017755173545,0.42226487523992323,0.42667752036902584,0.26260997419272275,0.25220834340647297
9,1.3494267370345745,0.4077659574468085,0.34810163954471246,0.24906433508115708,0.23532084415296542,1.3516808429747138,0.43761996161228406,0.4212033983008496,0.27462886042741974,0.26566225262339815
10,1.345328395113032,0.4114893617021277,0.37982618090311426,0.2561671208746358,0.24682765185308822,1.3414071352427241,0.44337811900191937,0.42795046483571075,0.2770295770592501,0.2679896310804858
11,1.3335489735704786,0.42138297872340424,0.3745765355079274,0.26332223062615245,0.25451014075280415,1.3322546573085638,0.45873320537428025,0.4494383942256447,0.29146709572153734,0.28314549669294686
12,1.3240747589760637,0.4275531914893617,0.4194529430004266,0.27223518811744096,0.26832049434652416,1.323353308757753,0.45873320537428025,0.4366549085999999,0.2937008115428913,0.28864713846760914
13,1.3089098861369681,0.43861702127659574,0.39202406502577836,0.2811693727930251,0.2770771971510217,1.3147716959014193,0.4510556621880998,0.3543311194737696,0.28348283602781216,0.27385471544834095
