Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Valid Loss,Valid Accuracy,Valid Precision,Valid Recall,Valid F1
14,1.3026981175199468,0.44180851063829785,0.41703308354708774,0.2879711531270738,0.2877404299087655,1.307976875596374,0.46833013435700577,0.3639731598854231,0.29521338992449775,0.28550470910967746
15,1.2915229180518617,0.4470212765957447,0.42770442986002477,0.2958655490894825,0.29878452317501497,1.2988877624045803,0.472168905950096,0.4271295498192925,0.3035621507486243,0.2981881840420751
16,1.2891387549867022,0.4453191489361702,0.42681012832179455,0.2933055800277642,0.2957960575222888,1.2918553243156607,0.4760076775431862,0.3976062935851873,0.3081861056605383,0.3029747448597461
17,1.2774607297207448,0.4576595744680851,0.4207061305264054,0.3023676784432928,0.3039221305021929,1.2860714279058325,0.4779270633397313,0.3981881492408876,0.3085563654395768,0.3032925450095311
18,1.2729146235039894,0.4523404255319149,0.4294353644080863,0.3044826515108867,0.31044387700139764,1.2784744146216007,0.4798464491362764,0.4127980073420159,0.30730058013052935,0.30283674715407716
19,1.2745205493683511,0.4597872340425532,0.44915178167250847,0.3094756069980369,0.3168720552440848,1.2708009909127504,0.4894433781190019,0.44980267329166834,0.3264518459668131,0.32930602563731204
20,1.2679939951795214,0.4595744680851064,0.4390669629013071,0.31337807986882094,0.3220029403596188,1.2685769350474116,0.4894433781190019,0.4588768594961673,0.3176740391588107,0.3143393894051124
21,1.2547121218417554,0.46819148936170213,0.45136544228014913,0.31895785979547303,0.3277853949458516,1.2610680965976862,0.4952015355086372,0.46416434899824405,0.3322149735528729,0.33700071306938445
22,1.2538776803523937,0.47117021276595744,0.44908034157521604,0.3235297724539429,0.33315042769169295,1.2606252422769562,0.5182341650671785,0.4907736489738407,0.3599587030243569,0.36392301659681836
23,1.2467882521609042,0.47702127659574467,0.4498129592898791,0.3281237802492855,0.338475604125109,1.2468081175825978,0.508637236084453,0.5110285156307357,0.34906421959646805,0.3540536420815218
24,1.2538156582446809,0.4667021276595745,0.4345402482625095,0.320154348183179,0.3291251352360656,1.2440144779117963,0.5124760076775432,0.5072661558080489,0.35113197436334936,0.35438059534604827
25,1.2375221284906914,0.4768085106382979,0.4676027951083387,0.334068205313233,0.3474037963537006,1.2334774104693464,0.5028790786948176,0.4663872431146038,0.34134155184916604,0.34812631605001193
26,1.240582301363032,0.47904255319148936,0.47895227764790577,0.3363681949332094,0.3511210092032909,1.2291255106452768,0.5124760076775432,0.4577449841725308,0.3543467666254319,0.3576645722590873
27,1.2302315699800532,0.48521276595744683,0.47635460801222607,0.34145793851316386,0.3562568493223889,1.2280764980170562,0.510556621880998,0.4642260933405861,0.37028534637205135,0.37883685665827505
28,1.2279811128656914,0.4875531914893617,0.47638089446181225,0.34583380533359065,0.36220597673930854,1.222521949360389,0.527831094049904,0.48897525195645264,0.37860256793072555,0.3877982550157716
29,1.2198533078457447,0.495,0.47791083471416596,0.35201163935017543,0.3675389319363461,1.217738959625477,0.5239923224568138,0.49308180155630976,0.37940405984728914,0.38581005311296607
